% x                       y                        z                        abs(c) (mol/m^3) @ t=36000
0.03                      0.14                     0.025                    3.7944035892188537
0.04                      0.14                     0.025                    6.088915076630432
0.05                      0.14                     0.025                    8.538653124201026
0.06                      0.14                     0.025                    10.533527098426994
0.07                      0.14                     0.025                    11.23187271188334
0.08                      0.14                     0.025                    10.57628221145032
0.09                      0.14                     0.025                    8.757880894700962
0.1                       0.14                     0.025                    6.611083968396684
0.11                      0.14                     0.025                    4.995787374821576
0.12                      0.14                     0.025                    4.293152274046953
0.13                      0.14                     0.025                    4.698040990429947
0.14                      0.14                     0.025                    5.638969895727408
0.15                      0.14                     0.025                    6.626154009962103
0.16                      0.14                     0.025                    7.01746530301447
0.17                      0.14                     0.025                    6.5822477717404295
0.18                      0.14                     0.025                    5.363166173639877
0.19                      0.14                     0.025                    3.8170384606212964
0.2                       0.14                     0.025                    2.3606641760497116
0.21                      0.14                     0.025                    1.2362756890053244
0.22                      0.14                     0.025                    0.5777989547754517
0.23                      0.14                     0.025                    0.32839591678602364
0                         0.15                     0.025                    0.28463578619823804
0.01                      0.15                     0.025                    0.5658478530367325
0.02                      0.15                     0.025                    1.246935171717153
0.03                      0.15                     0.025                    2.471105010393984
0.04                      0.15                     0.025                    4.0130688451453675
0.05                      0.15                     0.025                    5.651867388299758
0.06                      0.15                     0.025                    7.035969857963455
0.07                      0.15                     0.025                    7.481244092044958
0.08                      0.15                     0.025                    7.008284700612322
0.09                      0.15                     0.025                    5.811330082160211
0.1                       0.15                     0.025                    4.345314912398558
0.11                      0.15                     0.025                    3.202437267760571
0.12                      0.15                     0.025                    2.7869467018495615
0.13                      0.15                     0.025                    3.056704039966479
0.14                      0.15                     0.025                    3.744790892232551
0.15                      0.15                     0.025                    4.4112883629742505
0.16                      0.15                     0.025                    4.708005857752536
0.17                      0.15                     0.025                    4.389931825155161
0.18                      0.15                     0.025                    3.56536618279781
0.19                      0.15                     0.025                    2.5227908761845614
0.2                       0.15                     0.025                    1.54012600762672
0.21                      0.15                     0.025                    0.7789714166556858
0.22                      0.15                     0.025                    0.3571766011586791
0.23                      0.15                     0.025                    0.1795155933136157
0                         0.16                     0.025                    0.13136508447081585
0.01                      0.16                     0.025                    0.2971080021658511
0.02                      0.16                     0.025                    0.6533138800608517
0.03                      0.16                     0.025                    1.3167975012128807
0.04                      0.16                     0.025                    2.285820342460457
0.05                      0.16                     0.025                    3.2566803941568403
0.06                      0.16                     0.025                    4.029097438316074
0.07                      0.16                     0.025                    4.271709812775333
0.08                      0.16                     0.025                    3.9846571982240286
0.09                      0.16                     0.025                    3.258506278906995
0.1                       0.16                     0.025                    2.4273302333992595
0.11                      0.16                     0.025                    1.7570793669503952
0.12                      0.16                     0.025                    1.5505604096434822
0.13                      0.16                     0.025                    1.6926545094293646
0.14                      0.16                     0.025                    2.101702172047365
0.15                      0.16                     0.025                    2.4836717165882822
