% x	y	z	pH
0.14	0.22	0.025	6.917577088
0.15	0.22	0.025	6.918689229
0.16	0.22	0.025	6.918988452
0.17	0.22	0.025	6.925753412
0.18	0.22	0.025	6.935056475
0.19	0.22	0.025	6.940423576
0.2	0.22	0.025	6.963392701
0.21	0.22	0.025	6.982654435
0.22	0.22	0.025	6.996588959
0.23	0.22	0.025	7.00030416
0	0.23	0.025	7.042371533
0.01	0.23	0.025	7.014789231
0.02	0.23	0.025	6.987101601
0.03	0.23	0.025	6.9346171
0.04	0.23	0.025	6.840805679
0.05	0.23	0.025	6.786976152
0.06	0.23	0.025	6.737132756
0.07	0.23	0.025	6.69343955
0.08	0.23	0.025	6.707514517
0.09	0.23	0.025	6.793935346
0.1	0.23	0.025	6.898118131
0.11	0.23	0.025	6.98946707
0.12	0.23	0.025	7.021522818
0.13	0.23	0.025	7.008022955
0.14	0.23	0.025	6.98423803
0.15	0.23	0.025	6.958599728
0.16	0.23	0.025	6.949663547
0.17	0.23	0.025	6.95888626
0.18	0.23	0.025	6.972265907
0.19	0.23	0.025	6.986275748
0.2	0.23	0.025	6.996840675
0.21	0.23	0.025	7.002185958
0.22	0.23	0.025	7.00250542
0.23	0.23	0.025	7.002220871
